2017/10/12 22:57:57 [error] 13932#0: *1 open() "/app/static/favicon.ico" failed (2: No such file or directory), client: 192.168.83.1, server: static.yii-shop.dev, request: "GET /favicon.ico HTTP/1.1", host: "static.yii-shop.dev", referrer: "http://static.yii-shop.dev/origin/products/1/1.jpg"
2017/10/14 23:39:31 [error] 16021#0: *187 open() "/app/static/cache/products/iphone_1-200x200.jpg" failed (2: No such file or directory), client: 192.168.83.1, server: static.yii-shop.dev, request: "GET /cache/products/iphone_1-200x200.jpg HTTP/1.1", host: "static.yii-shop.dev", referrer: "http://frontend.yii-shop.dev/"
2017/10/14 23:39:31 [error] 16021#0: *185 open() "/app/static/cache/products/iphone_1-47x47.jpg" failed (2: No such file or directory), client: 192.168.83.1, server: static.yii-shop.dev, request: "GET /cache/products/iphone_1-47x47.jpg HTTP/1.1", host: "static.yii-shop.dev", referrer: "http://frontend.yii-shop.dev/"
2017/10/14 23:39:31 [error] 16021#0: *185 open() "/app/static/cache/products/apple_cinema_30-200x200.jpg" failed (2: No such file or directory), client: 192.168.83.1, server: static.yii-shop.dev, request: "GET /cache/products/apple_cinema_30-200x200.jpg HTTP/1.1", host: "static.yii-shop.dev", referrer: "http://frontend.yii-shop.dev/"
2017/10/14 23:39:31 [error] 16021#0: *187 open() "/app/static/cache/manufacturers/nfl-130x100.png" failed (2: No such file or directory), client: 192.168.83.1, server: static.yii-shop.dev, request: "GET /cache/manufacturers/nfl-130x100.png HTTP/1.1", host: "static.yii-shop.dev", referrer: "http://frontend.yii-shop.dev/"
2017/10/14 23:39:31 [error] 16021#0: *185 open() "/app/static/cache/products/canon_eos_5d_1-200x200.jpg" failed (2: No such file or directory), client: 192.168.83.1, server: static.yii-shop.dev, request: "GET /cache/products/canon_eos_5d_1-200x200.jpg HTTP/1.1", host: "static.yii-shop.dev", referrer: "http://frontend.yii-shop.dev/"
2017/10/14 23:39:31 [error] 16021#0: *186 open() "/app/static/cache/manufacturers/redbull-130x100.png" failed (2: No such file or directory), client: 192.168.83.1, server: static.yii-shop.dev, request: "GET /cache/manufacturers/redbull-130x100.png HTTP/1.1", host: "static.yii-shop.dev", referrer: "http://frontend.yii-shop.dev/"
2017/10/14 23:39:31 [error] 16021#0: *188 open() "/app/static/cache/products/canon_eos_5d_1-47x47.jpg" failed (2: No such file or directory), client: 192.168.83.1, server: static.yii-shop.dev, request: "GET /cache/products/canon_eos_5d_1-47x47.jpg HTTP/1.1", host: "static.yii-shop.dev", referrer: "http://frontend.yii-shop.dev/"
2017/10/14 23:39:31 [error] 16021#0: *187 open() "/app/static/cache/manufacturers/sony-130x100.png" failed (2: No such file or directory), client: 192.168.83.1, server: static.yii-shop.dev, request: "GET /cache/manufacturers/sony-130x100.png HTTP/1.1", host: "static.yii-shop.dev", referrer: "http://frontend.yii-shop.dev/"
2017/10/14 23:39:31 [error] 16021#0: *190 open() "/app/static/cache/products/macbook_1-200x200.jpg" failed (2: No such file or directory), client: 192.168.83.1, server: static.yii-shop.dev, request: "GET /cache/products/macbook_1-200x200.jpg HTTP/1.1", host: "static.yii-shop.dev", referrer: "http://frontend.yii-shop.dev/"
2017/10/14 23:39:32 [error] 16021#0: *186 open() "/app/static/cache/manufacturers/cocacola-130x100.png" failed (2: No such file or directory), client: 192.168.83.1, server: static.yii-shop.dev, request: "GET /cache/manufacturers/cocacola-130x100.png HTTP/1.1", host: "static.yii-shop.dev", referrer: "http://frontend.yii-shop.dev/"
